agree,agree_ratio,agreeance_text,allsides_page,bias,disagree,name,total_votes
120,0.6779661016949152,Somewhat Disagrees,https://www.allsides.com/news-source/az-central-media-bias,center,177,AZ Central,297
96,3.4285714285714284,Absolutely Agrees,https://www.allsides.com/news-source/babylon-bee-media-bias,right-center,28,Babylon Bee (Humor),124
525,0.8620689655172413,Somewhat Disagrees,https://www.allsides.com/news-source/barnstable-patriot,center,609,Barnstable Patriot,1134
17356,1.0813033455859449,Somewhat Agrees,https://www.allsides.com/news-source/bbc-news-media-bias,center,16051,BBC News,33407
629,1.1499085923217551,Somewhat Agrees,https://www.allsides.com/news-source/bearing-drift,right,547,Bearing Drift,1176
131,0.803680981595092,Somewhat Disagrees,https://www.allsides.com/news-source/bet-media-bias,left-center,163,BET,294
3,0.75,Somewhat Disagrees,https://www.allsides.com/news-source/black-enterprise-media-bias,left-center,4,Black Enterprise,7
9542,0.6598437175852292,Disagrees,https://www.allsides.com/news-source/bloomberg-media-bias,center,14461,Bloomberg,24003
748,1.36996336996337,Somewhat Agrees,https://www.allsides.com/news-source/blue-virginia,left,546,Blue Virginia,1294
870,1.5371024734982333,Agrees,https://www.allsides.com/news-source/boing-boing,left,566,Boing Boing,1436
2,1.0,Neutral,https://www.allsides.com/news-source/book-club-chicago-media-bias,left,2,Book Club Chicago,4
422,1.1754874651810585,Somewhat Agrees,https://www.allsides.com/news-source/boston-herald-media-bias,right-center,359,Boston Herald,781
243,1.0474137931034482,Somewhat Agrees,https://www.allsides.com/news-source/boston-herald-editorial-media-bias,right-center,232,Boston Herald Editorial,475
14,0.875,Somewhat Disagrees,https://www.allsides.com/news-source/boston-review-media-bias,left-center,16,Boston Review,30
590,0.9335443037974683,Somewhat Disagrees,https://www.allsides.com/news-source/bowling-green-daily-news,left-center,632,Bowling Green Daily News,1222
86,1.2647058823529411,Somewhat Agrees,https://www.allsides.com/news-source/braver-angels-media-bias,allsides,68,Braver Angels,154
24980,2.7330415754923414,Strongly Agrees,https://www.allsides.com/news-source/breitbart,right,9140,Breitbart,34120
90,1.25,Somewhat Agrees,https://www.allsides.com/news-source/bridgemicom-media-bias,center,72,Bridgemi.com,162
33,3.6666666666666665,Absolutely Agrees,https://www.allsides.com/news-source/brown-girl-magazine-media-bias,left,9,Brown Girl Magazine,42
2478,0.7603559374041117,Somewhat Disagrees,https://www.allsides.com/news-source/business-insider,center,3259,Business Insider,5737
802,1.0113493064312737,Somewhat Agrees,https://www.allsides.com/news-source/bustle,left-center,793,Bustle,1595
12672,1.6560376372190277,Agrees,https://www.allsides.com/news-source/buzzfeed-media-bias,left,7652,Buzzfeed News,20324
3181,3.1937751004016066,Absolutely Agrees,https://www.allsides.com/news-source/c-span,center,996,C-SPAN,4177
686,1.1868512110726643,Somewhat Agrees,https://www.allsides.com/news-source/calmatters,center,578,CalMatters,1264
541,0.9392361111111112,Somewhat Disagrees,https://www.allsides.com/news-source/calwatchdog,center,576,CalWatchdog,1117
595,0.9340659340659341,Somewhat Disagrees,https://www.allsides.com/news-source/care-2,left,637,Care2,1232
6584,1.915066899360093,Agrees,https://www.allsides.com/news-source/cbn,right,3438,CBN,10022
10980,1.373530147610708,Somewhat Agrees,https://www.allsides.com/news-source/cbs-news-media-bias,left-center,7994,CBS News,18974
649,1.144620811287478,Somewhat Agrees,https://www.allsides.com/news-source/center-major-media-sources,center,567,Center - Major Media Sources,1216
677,0.8712998712998713,Somewhat Disagrees,https://www.allsides.com/news-source/center-public-integrity,left-center,777,Center for Public Integrity,1454
568,0.8916797488226059,Somewhat Disagrees,https://www.allsides.com/news-source/centre-view,left-center,637,Centre View,1205
76,0.8172043010752689,Somewhat Disagrees,https://www.allsides.com/news-source/check-your-fact-media-bias,right-center,93,Check Your Fact,169
3,3.0,Strongly Agrees,https://www.allsides.com/news-source/chicago-crusader-media-bias,left,1,Chicago Crusader,3
30,3.0,Strongly Agrees,https://www.allsides.com/news-source/chicago-defender-media-bias,left,10,Chicago Defender,40
769,0.9922580645161291,Somewhat Disagrees,https://www.allsides.com/news-source/chicago-sun-times,left-center,775,Chicago Sun-Times,1544
1931,0.5566445661573941,Disagrees,https://www.allsides.com/news-source/chicago-tribune,center,3469,Chicago Tribune,5400
11532,0.7866839484275872,Somewhat Disagrees,https://www.allsides.com/news-source/christian-science-monitor,center,14659,Christian Science Monitor,26191
103,0.6776315789473685,Somewhat Disagrees,https://www.allsides.com/news-source/christianity-today-media-bias,right-center,152,Christianity Today,255
362,1.2026578073089702,Somewhat Agrees,https://www.allsides.com/news-source/city-journal-media-bias,right,301,City Journal,663
2075,0.42546647529218784,Strongly Disagrees,https://www.allsides.com/news-source/cnbc,center,4877,CNBC,6952
322,1.2105263157894737,Somewhat Agrees,https://www.allsides.com/news-source/cnet,center,266,CNET,588
34299,0.937336029733275,Somewhat Disagrees,https://www.allsides.com/news-source/cnn-media-bias,left-center,36592,CNN,70891
16391,3.924108211635145,Absolutely Agrees,https://www.allsides.com/news-source/cnn-editorial,left,4177,CNN - Editorial,20568
877,1.2030178326474623,Somewhat Agrees,https://www.allsides.com/news-source/cnsnewscom,right,729,CNSNews.com,1606
199,0.5653409090909091,Disagrees,https://www.allsides.com/news-source/columbia-journalism-review,center,352,Columbia Journalism Review,551
218,0.956140350877193,Somewhat Disagrees,https://www.allsides.com/news-source/commentary-magazine-media-bias,right,228,Commentary Magazine,446
28,0.7777777777777778,Somewhat Disagrees,https://www.allsides.com/news-source/concord-monitor,center,36,Concord Monitor,64
853,2.1486146095717884,Strongly Agrees,https://www.allsides.com/news-source/conservative-hq,right,397,Conservative HQ,1250
892,1.5540069686411149,Agrees,https://www.allsides.com/news-source/cook-report,center,574,Cook Report,1466
363,1.4069767441860466,Somewhat Agrees,https://www.allsides.com/news-source/counter-currents,left-center,258,Counter Currents,621
387,1.0901408450704226,Somewhat Agrees,https://www.allsides.com/news-source/counterpointing,allsides,355,Counterpointing,742
415,0.9496567505720824,Somewhat Disagrees,https://www.allsides.com/news-source/crowdpac,center,437,CrowdPAC,852
365,0.8390804597701149,Somewhat Disagrees,https://www.allsides.com/news-source/cu-independent,center,435,CU Independent,800
363,2.26875,Strongly Agrees,https://www.allsides.com/news-source/current-affairs-media-bias,left,160,Current Affairs,523
11878,2.400565885206144,Strongly Agrees,https://www.allsides.com/news-source/daily-beast-media-bias,left,4948,Daily Beast,16826
423,0.9215686274509803,Somewhat Disagrees,https://www.allsides.com/news-source/daily-cardinal,center,459,Daily Cardinal,882
5,1.0,Neutral,https://www.allsides.com/news-source/daily-chela-media-bias,left,5,Daily Chela,10
5491,2.703594288527819,Strongly Agrees,https://www.allsides.com/news-source/daily-kos,left,2031,Daily Kos,7522
5461,1.5737752161383285,Agrees,https://www.allsides.com/news-source/daily-mail,right,3470,Daily Mail,8931
384,0.9434889434889435,Somewhat Disagrees,https://www.allsides.com/news-source/daily-northwestern,left-center,407,Daily Northwestern,791
373,0.8004291845493562,Somewhat Disagrees,https://www.allsides.com/news-source/daily-press,right-center,466,Daily Press,839
425,0.9883720930232558,Somewhat Disagrees,https://www.allsides.com/news-source/daily-progress,center,430,Daily Progress,855
273,0.6791044776119403,Somewhat Disagrees,https://www.allsides.com/news-source/daily-targum,left-center,402,Daily Targum,675
264,1.104602510460251,Somewhat Agrees,https://www.allsides.com/news-source/defense-one-media-bias,center,239,Defense One,503
8291,3.662102473498233,Absolutely Agrees,https://www.allsides.com/news-source/democracy-now,left,2264,Democracy Now,10555
109,0.7676056338028169,Somewhat Disagrees,https://www.allsides.com/news-source/desmoines-register,center,142,Des Moines Register,251
1142,0.6412128017967434,Disagrees,https://www.allsides.com/news-source/deseret-news,right-center,1781,Deseret News,2923
177,0.7972972972972973,Somewhat Disagrees,https://www.allsides.com/news-source/detroit-free-press,left-center,222,Detroit Free Press,399
103,0.673202614379085,Somewhat Disagrees,https://www.allsides.com/news-source/detroit-news,center,153,Detroit News,256
363,1.2474226804123711,Somewhat Agrees,https://www.allsides.com/news-source/diplomatic-courier,center,291,Diplomatic Courier,654
2121,1.3826597131681877,Somewhat Agrees,https://www.allsides.com/news-source/drudge-report,right-center,1534,Drudge Report,3655
402,0.9852941176470589,Somewhat Disagrees,https://www.allsides.com/news-source/duke-chronicle,center,408,Duke Chronicle,810
9,1.5,Somewhat Agrees,https://www.allsides.com/news-source/erraticus-media-bias,center,6,Erraticus,15
1024,1.8962962962962964,Agrees,https://www.allsides.com/news-source/esquire,left,540,Esquire,1564
268,0.7549295774647887,Somewhat Disagrees,https://www.allsides.com/news-source/estes-park-trail-gazette,center,355,Estes Park Trail Gazette,623
346,0.8849104859335039,Somewhat Disagrees,https://www.allsides.com/news-source/eurek-alert,center,391,Eurek Alert,737
798,1.1548480463096962,Somewhat Agrees,https://www.allsides.com/news-source/fact-checker-blog,center,691,Fact Checker Blog,1489
6479,1.2597705619288353,Somewhat Agrees,https://www.allsides.com/news-source/factcheckorg-media-bias,center,5143,FactCheck.org,11622
531,1.0018867924528303,Somewhat Agrees,https://www.allsides.com/news-source/fair-media-bias,left-center,530,FAIR,1061
416,0.8869936034115139,Somewhat Disagrees,https://www.allsides.com/news-source/falls-church-news-press,left,469,Falls Church News - Press,885
607,1.5175,Agrees,https://www.allsides.com/news-source/financial-times-media-bias,center,400,Financial Times,1007
713,1.163132137030995,Somewhat Agrees,https://www.allsides.com/news-source/fiscal-times,right-center,613,Fiscal Times,1326
3724,1.5793044953350297,Agrees,https://www.allsides.com/news-source/fivethirtyeight-0,center,2358,FiveThirtyEight,6082
7487,1.8040963855421688,Agrees,https://www.allsides.com/news-source/forbes,center,4150,Forbes,11637
955,1.8260038240917782,Agrees,https://www.allsides.com/news-source/foreign-affairs,center,523,Foreign Affairs,1478
141,1.014388489208633,Somewhat Agrees,https://www.allsides.com/news-source/foreign-policy-media-bias,center,139,Foreign Policy,280
28971,0.7776197122611123,Somewhat Disagrees,https://www.allsides.com/news-source/fox-news-media-bias,right-center,37256,Fox News,66227
2058,1.9864864864864864,Agrees,https://www.allsides.com/news-source/fox-news-latino,right,1036,Fox News Latino,3094
13906,4.420216147488874,Absolutely Agrees,https://www.allsides.com/news-source/fox-news-editorial-media-bias,right,3146,Fox News Opinion,17052
559,1.334128878281623,Somewhat Agrees,https://www.allsides.com/news-source/frontpage-magazine,right,419,FrontPage Magazine,978
133,1.0901639344262295,Somewhat Agrees,https://www.allsides.com/news-source/gizmodo,left-center,122,Gizmodo,255
10,0.23255813953488372,Absolutely Disagrees,https://www.allsides.com/news-source/glaad-media-bias,left-center,43,GLAAD,53
475,1.3494318181818181,Somewhat Agrees,https://www.allsides.com/news-source/google-news-media-bias,left-center,352,Google News,827
84,0.717948717948718,Somewhat Disagrees,https://www.allsides.com/news-source/gqcom-media-bias,left-center,117,GQ.com,201
484,0.9184060721062619,Somewhat Disagrees,https://www.allsides.com/news-source/grist,left-center,527,Grist,1011
394,0.9728395061728395,Somewhat Disagrees,https://www.allsides.com/news-source/hampton-roads-messanger,center,405,Hampton Roads Messanger,799
717,0.8405627198124267,Somewhat Disagrees,https://www.allsides.com/news-source/harvard-business-school,left-center,853,Harvard Business School,1570
67,1.2407407407407407,Somewhat Agrees,https://www.allsides.com/news-source/heavycom-media-bias,center,54,Heavy.com,121
474,1.2248062015503876,Somewhat Agrees,https://www.allsides.com/news-source/herald-democrat-0,left,387,Herald Democrat,861
0,0.0,Absolutely Disagrees,https://www.allsides.com/news-source/hip-latina-media-bias,left,1,Hip Latina,0
349,0.7270833333333333,Somewhat Disagrees,https://www.allsides.com/news-source/honolulu-civil-beat,center,480,Honolulu Civil Beat,829
1023,1.1119565217391305,Somewhat Agrees,https://www.allsides.com/news-source/hotair,right-center,920,HotAir,1943
63,0.9402985074626866,Somewhat Disagrees,https://www.allsides.com/news-source/houston-chronicle-media-bias,center,67,Houston Chronicle,130
637,1.0425531914893618,Somewhat Agrees,https://www.allsides.com/news-source/how-do-we-fix-it,center,611,How Do We Fix It?,1248
122,1.2079207920792079,Somewhat Agrees,https://www.allsides.com/news-source/howard-kurtz-media-bias,center,101,Howard Kurtz,223
26313,1.2632261161785885,Somewhat Agrees,https://www.allsides.com/news-source/huffpost-media-bias,left,20830,HuffPost,47143
72,0.9,Somewhat Disagrees,https://www.allsides.com/news-source/idaho-statesman-media-bias,center,80,Idaho Statesman,152
392,1.3517241379310345,Somewhat Agrees,https://www.allsides.com/news-source/inacow,right,290,Inacow,682
1230,1.0837004405286343,Somewhat Agrees,https://www.allsides.com/news-source/independent-journal-review,right-center,1135,Independent Journal Review,2365
293,0.7876344086021505,Somewhat Disagrees,https://www.allsides.com/news-source/indiana-daily-student,center,372,Indiana Daily Student,665
295,0.9247648902821317,Somewhat Disagrees,https://www.allsides.com/news-source/indy-online,center,319,Indy Online,614
314,0.9022988505747126,Somewhat Disagrees,https://www.allsides.com/news-source/indy-week,left-center,348,Indy Week,662
4563,4.417231364956438,Absolutely Agrees,https://www.allsides.com/news-source/infowars,right,1033,InfoWars,5596
310,0.8985507246376812,Somewhat Disagrees,https://www.allsides.com/news-source/inside-philanthropy,center,345,Inside Philanthropy,655
367,0.9061728395061729,Somewhat Disagrees,https://www.allsides.com/news-source/intellectual-conservative,right-center,405,Intellectual Conservative,772
1031,1.300126103404792,Somewhat Agrees,https://www.allsides.com/news-source/international-business-times,center,793,International Business Times,1824
1184,1.2555673382820784,Somewhat Agrees,https://www.allsides.com/news-source/investors-business-daily,right-center,943,Investor's Business Daily,2127
451,1.0044543429844097,Somewhat Agrees,https://www.allsides.com/news-source/ivn,center,449,IVN,900
671,3.834285714285714,Absolutely Agrees,https://www.allsides.com/news-source/jacobin-media-bias,left,175,Jacobin,846
210,2.625,Strongly Agrees,https://www.allsides.com/news-source/jezebel-media-bias,left,80,Jezebel,290
275,0.873015873015873,Somewhat Disagrees,https://www.allsides.com/news-source/journalists-resource,center,315,Journalist's Resource,590
0,0.0,Absolutely Disagrees,https://www.allsides.com/news-source/jstor-daily-media-bias,center,1,JSTOR Daily,0
198,1.0259067357512954,Somewhat Agrees,https://www.allsides.com/news-source/jubilee-media-bias,center,193,Jubilee Media,391
1175,0.9303246239113222,Somewhat Disagrees,https://www.allsides.com/news-source/judicial-watch,right-center,1263,Judicial Watch,2438
8,0.8888888888888888,Somewhat Disagrees,https://www.allsides.com/news-source/kalworg-media-bias,center,9,KALW.org,17
68,0.8192771084337349,Somewhat Disagrees,https://www.allsides.com/news-source/katu-media-bias,center,83,KATU,151
514,1.16289592760181,Somewhat Agrees,https://www.allsides.com/news-source/kqed,center,442,KQED,956
904,1.2590529247910864,Somewhat Agrees,https://www.allsides.com/news-source/ksl,right,718,KSL,1622
313,1.0032051282051282,Somewhat Agrees,https://www.allsides.com/news-source/las-vegas-sun,left-center,312,Las Vegas Sun,625
1,0.5,Strongly Disagrees,https://www.allsides.com/news-source/latino-rebels-media-bias,left,2,Latino Rebels,3
241,1.1004566210045663,Somewhat Agrees,https://www.allsides.com/news-source/leesburg-today,right-center,219,Leesburg Today,460
579,1.269736842105263,Somewhat Agrees,https://www.allsides.com/news-source/left-major-publications,left,456,Left - Major Media Sources,1035
1,1.0,Neutral,https://www.allsides.com/news-source/lgbtq-nation-media-bias,left-center,1,LGBTQ Nation,1
364,1.037037037037037,Somewhat Agrees,https://www.allsides.com/news-source/lifehacker,center,351,Lifehacker,715
146,1.2066115702479339,Somewhat Agrees,https://www.allsides.com/news-source/listen-first-project-media-bias,allsides,121,Listen First Project,267
310,1.4553990610328638,Somewhat Agrees,https://www.allsides.com/news-source/live-action-news,right-center,213,Live Action News,523
207,1.1564245810055866,Somewhat Agrees,https://www.allsides.com/news-source/longmont-times-call,left-center,179,Longmont Times-Call,386
4378,1.3541602227033716,Somewhat Agrees,https://www.allsides.com/news-source/los-angeles-times-bias,left-center,3233,Los Angeles Times,7611
219,0.9563318777292577,Somewhat Disagrees,https://www.allsides.com/news-source/louisville-courier-journal,left-center,229,Louisville Courier-Journal,448
1,0.5,Strongly Disagrees,https://www.allsides.com/news-source/making-sense-media-bias,center,2,Making Sense,3
214,0.45726495726495725,Strongly Disagrees,https://www.allsides.com/news-source/marketwatch-media-bias,right-center,468,MarketWatch,682
471,2.2216981132075473,Strongly Agrees,https://www.allsides.com/news-source/mashable,left,212,Mashable,683
86,0.7818181818181819,Somewhat Disagrees,https://www.allsides.com/news-source/mcclatchydc-media-bias,center,110,McClatchyDC,196
2690,1.6625463535228677,Agrees,https://www.allsides.com/news-source/media-matters-bias,left,1618,Media Matters,4308
1344,0.8230251071647275,Somewhat Disagrees,https://www.allsides.com/news-source/media-research-center,right,1633,Media Research Center,2977
764,1.0105820105820107,Somewhat Agrees,https://www.allsides.com/news-source/mediaite-bias,left-center,756,Mediaite,1520
338,0.949438202247191,Somewhat Disagrees,https://www.allsides.com/news-source/miami-herald,left-center,356,Miami Herald,694
593,1.9966329966329965,Agrees,https://www.allsides.com/news-source/michellemalkincom,right,297,MichelleMalkin.com,890
253,1.0952380952380953,Somewhat Agrees,https://www.allsides.com/news-source/michigan-daily,left-center,231,Michigan Daily,484
7,1.75,Agrees,https://www.allsides.com/news-source/military-times-media-bias,center,4,Military Times,11
1,0.5,Strongly Disagrees,https://www.allsides.com/news-source/misinformation-review-media-bias,center,2,Misinformation Review,3
99,0.8839285714285714,Somewhat Disagrees,https://www.allsides.com/news-source/mismatchorg-media-bias,allsides,112,Mismatch.org,211
247,1.2167487684729064,Somewhat Agrees,https://www.allsides.com/news-source/mit-news,center,203,MIT News,450
4,1.3333333333333333,Somewhat Agrees,https://www.allsides.com/news-source/mit-media-bias,left,3,Mitú,7
9159,6.053536021150033,Absolutely Agrees,https://www.allsides.com/news-source/mother-jones-bias,left,1513,Mother Jones,10672
10945,3.2907396271797955,Absolutely Agrees,https://www.allsides.com/news-source/msnbc,left,3326,MSNBC,14271
101,0.6273291925465838,Disagrees,https://www.allsides.com/news-source/mtv-news-online-media-bias,left-center,161,MTV News Online,262
1003,1.3590785907859078,Somewhat Agrees,https://www.allsides.com/news-source/national-journal,center,738,National Journal,1741
12971,2.3055456807678634,Strongly Agrees,https://www.allsides.com/news-source/national-review,right,5626,National Review,18597
21,1.75,Agrees,https://www.allsides.com/news-source/naturecom-media-bias,center,12,Nature.com,33
6635,0.8652842983828899,Somewhat Disagrees,https://www.allsides.com/news-source/nbc-news-media-bias,left-center,7668,NBC News (Online),14303
1299,0.9291845493562232,Somewhat Disagrees,https://www.allsides.com/news-source/nbc-today-show,left-center,1398,NBC Today Show,2697
3,0.6,Disagrees,https://www.allsides.com/news-source/new-discourses-media-bias,center,5,New Discourses,8
42,0.9333333333333333,Somewhat Disagrees,https://www.allsides.com/news-source/union-leader,center,45,New Hampshire Union Leader,87
1447,1.8670967741935485,Agrees,https://www.allsides.com/news-source/new-republic,left,775,New Republic,2222
1224,2.1974865350089767,Strongly Agrees,https://www.allsides.com/news-source/new-york-daily-news,left,557,New York Daily News,1781
1973,2.2020089285714284,Strongly Agrees,https://www.allsides.com/news-source/new-york-magazine,left,896,New York Magazine,2869
6809,1.5667280257708238,Agrees,https://www.allsides.com/news-source/new-york-post,right,4346,New York Post,11155
20301,0.6763618190904548,Somewhat Disagrees,https://www.allsides.com/news-source/new-york-times,left-center,30015,New York Times,50316
6707,3.3268849206349205,Absolutely Agrees,https://www.allsides.com/news-source/new-york-times-opinion-media-bias,left,2016,New York Times Opinion,8723
409,1.8097345132743363,Agrees,https://www.allsides.com/news-source/newsbusters,right,226,NewsBusters,635
7272,0.7896622868932566,Somewhat Disagrees,https://www.allsides.com/news-source/newsmax,right-center,9209,Newsmax - News,16481
117,1.6027397260273972,Agrees,https://www.allsides.com/news-source/newsmax-opinion-media-bias,right,73,Newsmax - Opinion,190
146,2.0,Agrees,https://www.allsides.com/news-source/newsonecom-media-bias,left,73,NewsOne,219
2452,0.8269814502529511,Somewhat Disagrees,https://www.allsides.com/news-source/newsweek,left,2965,Newsweek,5417
54,3.857142857142857,Absolutely Agrees,https://www.allsides.com/news-source/newsy-media-bias,center,14,Newsy,68
6,6.0,Absolutely Agrees,https://www.allsides.com/news-source/newtrals-media-bias,center,1,Newtrals,7
31,1.3478260869565217,Somewhat Agrees,https://www.allsides.com/news-source/nieman-lab-media-bias,center,23,Nieman Lab,54
213,0.8129770992366412,Somewhat Disagrees,https://www.allsides.com/news-source/nmpoliticsnet,center,262,NMPolitics.net,475
3922,0.8952293996804382,Somewhat Disagrees,https://www.allsides.com/news-source/npr-editorial,left-center,4381,NPR Editorial,8303
23457,1.2493741677762982,Somewhat Agrees,https://www.allsides.com/news-source/npr-media-bias,center,18775,NPR,42232
881,0.8295668549905838,Somewhat Disagrees,https://www.allsides.com/news-source/one-america-news-network-media-bias,right-center,1062,One America News Network (OAN),1943
303,1.160919540229885,Somewhat Agrees,https://www.allsides.com/news-source/orange-county-register,right-center,261,Orange County Register,564
416,1.1397260273972603,Somewhat Agrees,https://www.allsides.com/news-source/pacific-standard,left-center,365,Pacific Standard,781
1,1.0,Neutral,https://www.allsides.com/news-source/patchcom-media-bias,center,1,Patch.com,2
2624,1.3546721734641198,Somewhat Agrees,https://www.allsides.com/news-source/pbs-newshour,center,1937,PBS NewsHour,4561
195,1.8571428571428572,Agrees,https://www.allsides.com/news-source/peacock-panache,left,105,Peacock Panache,300
149,1.7738095238095237,Agrees,https://www.allsides.com/news-source/physorg,center,84,Phys.org,233
2,2.0,Agrees,https://www.allsides.com/news-source/pinknews-media-bias,left,1,PinkNews,2
271,0.8262195121951219,Somewhat Disagrees,https://www.allsides.com/news-source/pittsburgh-post-gazette,right-center,328,Pittsburgh Post-Gazette,599
255,1.2814070351758795,Somewhat Agrees,https://www.allsides.com/news-source/pj-media-media-bias,right-center,199,PJ Media,454
17380,0.7054430328367902,Somewhat Disagrees,https://www.allsides.com/news-source/politico-media-bias,left-center,24637,Politico,42017
989,2.9174041297935105,Strongly Agrees,https://www.allsides.com/news-source/politicususa,left,339,PoliticusUSA,1328
2951,0.9833388870376542,Somewhat Disagrees,https://www.allsides.com/news-source/politifact,left-center,3001,PolitiFact,5952
252,0.72,Somewhat Disagrees,https://www.allsides.com/news-source/portland-press-herarld,center,350,Portland Press Herald,602
37,0.8809523809523809,Somewhat Disagrees,https://www.allsides.com/news-source/poynter-media-bias,center,42,Poynter,79
729,1.5677419354838709,Agrees,https://www.allsides.com/news-source/pri-public-radio-international,center,465,PRI (Public Radio International),1194
235,1.5771812080536913,Agrees,https://www.allsides.com/news-source/progressive-voices-iowa,left,149,Progressive Voices of Iowa,384
191,0.9271844660194175,Somewhat Disagrees,https://www.allsides.com/news-source/project-veritas-media-bias,right-center,206,Project Veritas,397
1215,1.4585834333733494,Somewhat Agrees,https://www.allsides.com/news-source/propublica,left-center,833,ProPublica,2048
42,1.5555555555555556,Agrees,https://www.allsides.com/news-source/psychology-today-media-bias,center,27,Psychology Today,69
202,0.9308755760368663,Somewhat Disagrees,https://www.allsides.com/news-source/pxw-news,center,217,PXW News,419
616,1.0114942528735633,Somewhat Agrees,https://www.allsides.com/news-source/quartz,center,609,Quartz,1225
420,0.6287425149700598,Disagrees,https://www.allsides.com/news-source/quillette-media-bias,right-center,668,Quillette,1088
548,0.6963151207115629,Somewhat Disagrees,https://www.allsides.com/news-source/rasmussen-reports,center,787,Rasmussen Reports,1335
861,1.9612756264236901,Agrees,https://www.allsides.com/news-source/raw-story,left,439,Raw Story,1300
3435,0.9573578595317725,Somewhat Disagrees,https://www.allsides.com/news-source/real-clear-politics,center,3588,RealClearPolitics,7023
6707,1.5565096310048736,Agrees,https://www.allsides.com/news-source/reason,right-center,4309,Reason,11016
155,0.9393939393939394,Somewhat Disagrees,https://www.allsides.com/news-source/record-journal,center,165,Record Journal,320
44,0.8148148148148148,Somewhat Disagrees,https://www.allsides.com/news-source/red-racing-horses-media-bias,right,54,Red Racing Horses,98
721,2.593525179856115,Strongly Agrees,https://www.allsides.com/news-source/red-state,right,278,Red State,999
10520,1.762734584450402,Agrees,https://www.allsides.com/news-source/reuters,center,5968,Reuters,16488
265,1.1936936936936937,Somewhat Agrees,https://www.allsides.com/news-source/richmond-times-dispatch,right-center,222,Richmond Times Dispatch,487
310,1.0437710437710437,Somewhat Agrees,https://www.allsides.com/news-source/right-major-publications,right,297,Right - Major Media Sources,607
469,1.946058091286307,Agrees,https://www.allsides.com/news-source/right-side-news,right,241,Right Side News,710
422,2.0386473429951693,Strongly Agrees,https://www.allsides.com/news-source/right-wing-news,right,207,Right Wing News,629
178,1.072289156626506,Somewhat Agrees,https://www.allsides.com/news-source/roll-call-media-bias,center,166,Roll Call,344
1594,3.487964989059081,Absolutely Agrees,https://www.allsides.com/news-source/rolling-stone,left,457,RollingStone.com,2051
11234,2.208808493904837,Strongly Agrees,https://www.allsides.com/news-source/salon,left,5086,Salon,16320
964,2.700280112044818,Strongly Agrees,https://www.allsides.com/news-source/san-francisco-chronicle,left,357,San Francisco Chronicle,1321
0,0.0,Absolutely Disagrees,https://www.allsides.com/news-source/san-gabriel-valley-tribune-media-bias,center,1,San Gabriel Valley Tribune,0
427,0.9510022271714922,Somewhat Disagrees,https://www.allsides.com/news-source/san-jose-mercury-news,left-center,449,San Jose Mercury News,876
504,1.605095541401274,Agrees,https://www.allsides.com/news-source/science-daily,center,314,Science Daily,818
1174,1.8575949367088607,Agrees,https://www.allsides.com/news-source/scientific-american,left-center,632,Scientific American,1806
2,0.6666666666666666,Disagrees,https://www.allsides.com/news-source/scriberr-media-news-media-bias,center,3,Scriberr Media (Online News),5
